,title,abstract
article11,Neural Correlates of Technological Ambivalence: A Research Proposal,"Individuals’ reactions to a new technology have been studied extensively in information systems and other literatures. We suggest that one of the possible dispositions to a new technology, ambivalence, has not been studied much in the information systems research. Ambivalence refers to a state of having both positive and negative orientations toward an object simultaneously. Our conjecture is that it is possible for an individual to have such a reaction toward a new technology. In addition to having both positive and negative orientations, ambivalence may also represent as cognition and/or emotion. We suggest that such a complex reaction and/or state can be better understood using a neurophysiological approach because this approach will help us disentangle various facets and temporal dynamics of ambivalence. In this proposed research, we seek to conduct an empirical study to understand the neural correlates of ambivalence toward a technology."
article12,Neuroscience Foundations for Human Decision Making in Information Security: A General Framework and Experiment Design,"In this paper, we propose a conceptual model for information security (InfoSec) decision making that is based on cognitive science and neuroscience, and present a comprehensive framework of InfoSec decision making process. In addition, we illustrate a specific experiment design that could be used to investigate how specific automatic affective processes would impact specific components of the InfoSec decision making process."
article13,Combining Vicarious and Enactive Training in IS: Does Order Matter?,"The objective of the article is to provide empirical support for curriculum development to instructors using enactive learning in IS. Specifically, we are interested in understanding which instructional design, combining enactive and vicarious learning, leads to the most effective learning achievement and development of self-efficacy. Specifically, we compare two different training sequences to determine which is the best combination of the two instructional designs (vicarious/ enactive) to train people in using business dashboards efficiently. In a controlled lab environment, we collected (1) behavioral data (performance, software interactions) (2) oculometric data and (3) self-assessed self-efficacy data to assess the learning processes and strategies. Our results show that providing the vicarious training first when using a combination of enactive and vicarious learning leads to a higher selfefficacy increase. It also has a significant impact on the attentional efficiency of students using dashboards in a business setting."
article14,The Relationship Between Visual Website Complexity and a User’s Mental Workload: A NeuroIS Perspective,"I report results from an experiment on the relationship between visual website complexity and users’ mental workload. Applying a pupillary based workload assessment as a NeuroIS methodology, I found indications that a balanced level of navigation complexity, i.e., the number of (sub)menus, in combination with a balanced level of information complexity, is the best choice from a user’s mental workload perspective."
article15,Studying the Creation of Design Artifacts,"As software and information systems (IS) increase in functional sophistication, perceptions of IS quality are changing. Moving beyond issues of performance efficiency, essential qualities such as fitness for purpose, sustainability, and overall effectiveness become more complex. Creating software and information systems represents a highly interconnected locus in which both the generative processes of building design artifacts and articulating constructs used to evaluate their quality take place. We address this interconnectedness with an extended process-oriented research design enabling multi-modal neurophysiological data analyses. We posit that our research will provide more comprehensive assessments of the efficacy of design processes and the evaluation of the qualities of the resulting design artifacts."
article16,Bridging Aesthetics and Positivism in IS Visual Systems Design with Neuroscience: A Pluralistic Research Framework and Typology,"In this paper, we proposed a neuroscience-based general framework for IS visual systems design that uses neuroscience as the bridge that systematically integrates the principles of design aesthetics and principles of positivistic functionalities into a comprehensive model. Based on our general conceptual model, we also provide a detailed typological framework for the practical IS visual systems design."
article17,Towards a General-Purpose Mobile Brain-Body Imaging NeuroIS Testbed,"Navigating (familiar) environments requires spatial memory and spatial orientation. Mobile information systems (IS) have largely taken on this task and have changed human behavior. What impact has the redistribution of problem solving on human skills and knowledge? We are interested in exploring how the use of IS impacts on knowledge/ignorance by means of mobile brain-body imaging. In this paper, we introduce a novel experimental testbed developed to study spatial orientation in the context of geographic maps. Key system features include data synchronization between various devices and data sources, flexibility in designing and modeling research questions and integration of online co-adaptive brain-computer interfacing (BCI) technology. Flexibility, adaptability, scalability and modifiability of the implemented system turn the testbed into a general-purpose tool for studying NeuroIS constructs."
article18,Differences in Reading Between Word Search and Information Relevance Decisions: Evidence from Eye-Tracking,"We investigated differences in reading strategies in relation to information search task goals and perceived text relevance. Our findings demonstrate that some aspects of reading when looking for a specific target word are similar to reading relevant texts to find information, while other aspects are similar to reading irrelevant texts to find information. We also show significant differences in pupil dilation on final fixations on relevant words and on relevance decisions. Our results show feasibility of using eye-tracking data to infer timing of decisions made on information search tasks in relation to the required depth of information processing and the relevance level."
article19,The Influence of Task Characteristics on Multiple Objective and Subjective Cognitive Load Measures,"Using Electroencephalography (EEG), this study aims at extracting three features from instantaneous mental workload measure and link them to different aspect of the workload construct. An experiment was designed to investigate the effect of two workload inductors (Task difficulty and uncertainty) on extracted features along with a subjective measure of mental workload. Results suggest that both subjective and objective measures of workload are able to capture the effect of task difficulty; however only accumulated load was found to be sensitive to task uncertainty. We discuss that the three EEG measures derived from instantaneous workload can be used as criteria for designing more efficient information systems."
article20,Using Contactless Heart Rate Measurements for Real-Time Assessment of Affective States,"Heart rate measurements contain valuable information about a person’s affective state. There is a wide range of application domains for heart rate-based measures in information systems. To date, heart rate is typically measured using skin contact methods, where users must wear a measuring device. A non-contact and easy to use mobile approach, allowing heart rate measurements without interfering with the users’ natural environment, could prove to be a valuable NeuroIS tool. Hence, our two research objectives are (1) to develop an application for mobile devices that allows for non-contact, real-time heart rate measurement and (2) to evaluate this application in an IS context by benchmarking the results of our approach against established measurements. The proposed algorithm is based on non-contact photoplethysmography and hence takes advantage of slight skin color variations that occurs periodically with the user’s pulse."
article21,Lifelogging as a Viable Data Source for NeuroIS Researchers: A Review of Neurophysiological Data Types Collected in the Lifelogging Literature,"Based on this review, we argue for the consideration of lifelogging as an additional data source in NeuroIS research. Lifelogging itself is a concept which describes a behavior in which individuals, based on the use of computer technology, track (parts of) their lives, including the quantification of their well-being (e.g., continuous recording of an individual’s heart rate via a digital wrist watch). This relatively new form of behavior generates a viable data source for future NeuroIS studies, predominantly for those conducted in field settings. By analyzing how frequently the major types of neurophysiological data have thus far been collected in lifelogging publications, we reveal how much attention different types of neuro-physiological data have received in the context of longitudinal field studies. In essence, lifelogging data constitute a viable data base for NeuroIS researchers, one that is readily available and is predicted to grow in the future because an increasing number of people worldwide are tracking their daily lives to a growing extent."
article22,"A Refined Examination of Worker Age and Stress: Explaining How, and Why, Older Workers Are Especially Techno-Stressed in the Interruption Age","The workforce is aging rapidly, with the number of older workers increasing sharply (older being defined as 60 and over). At the same time, interruptions mediated by modern information technologies are proliferating in organizations. These interruptions include email notifications and instant messages, amongst others, which have been shown to have hazardous consequences for employees in terms of stress. Older workers might be especially affected by these interruptions, implying major problems for this fast-growing user group with regard to their well-being and work performance. The present study tests a research model suggesting that older workers experience more interruption-based technostress than their younger counterparts because of differences in inhibitory control between older and younger adults. In doing so, this study answers recent calls for examining age as a substantive variable in IS research, and it contributes to the literature on technostress by showing how technostress affects different user groups to different extents."
article23,Consumer Grade Brain-Computer Interfaces: An Entry Path into NeuroIS Domains,"This research provides a high-level and non-technical insight into the current state of NeuroIS field and a concise overview of consumer grade Brain-Computer interfaces (BCI). Special attention is given to the electroencephalography (EEG) based BCIs. Additionally, a two-dimensional overview with five clusters (Surgical, Clinical, Lab, Office and Plug & play cluster) is proposed as a mean to position NeuroIS tools based on the resource requirements and ease of use. Finally, this research employs a consumer grade BCI (Neurosky Mindwave) in a pilot study and argues for future research on consumer grade BCIs for topics related to information overload."
article24,Measuring the Popularity of Research in Neuroscience Information Systems (NeuroIS),Research in Neuroscience Information Systems aka NeuroIS has gained considerable momentum in the past decade. The purpose of this study is to examine the landscape of research conducted in the emerging discipline of NeuroIS in order to track the progression in the field. Our analysis is based on a systematic review of 59 papers published in high impact conferences and journals over the past 5 years (2011 to 2015 inclusive). It offers a bird eye view to the upcoming researchers who intend to pursue NeuroIS research.
